loss,val_loss
0.00338025763630867,0.0008495159563608468
0.00027524627512320876,0.0002369892317801714
0.00011811760487034917,0.00016262959979940206
8.365490066353232e-05,0.00013057966134510934
6.780742842238396e-05,0.0001110633893404156
5.822596722282469e-05,9.887899068417028e-05
5.1846571295754984e-05,8.959315891843289e-05
4.7313704271800816e-05,8.257276931544766e-05
4.3923027988057584e-05,7.702047878410667e-05
4.1153180063702166e-05,7.163400005083531e-05
3.8844129448989406e-05,6.688571738777682e-05
3.6911802453687415e-05,6.323105480987579e-05
3.525292413542047e-05,6.0189202486071736e-05
3.3834374335128814e-05,5.765585956396535e-05
3.261477468186058e-05,5.544067971641198e-05
3.1522835342912003e-05,5.379819413064979e-05
3.058053698623553e-05,5.205194611335173e-05
2.972297625092324e-05,5.096753011457622e-05
2.8940914489794523e-05,4.9654077884042636e-05
2.8260317776584998e-05,4.8622510803397745e-05
2.767396654235199e-05,4.742379314848222e-05
2.713394133024849e-05,4.719549178844318e-05
2.6704528863774613e-05,4.6574048610636964e-05
2.6241634259349667e-05,4.5469525502994657e-05
2.5840505259111524e-05,4.518970672506839e-05
2.547370058891829e-05,4.4933167373528704e-05
2.511047750886064e-05,4.431528941495344e-05
2.477099042152986e-05,4.3790794734377414e-05
2.448746636218857e-05,4.34853536717128e-05
2.4182070774259046e-05,4.292228550184518e-05
2.3895543563412502e-05,4.239181726006791e-05
2.361677252338268e-05,4.1901672375388443e-05
2.3370062990579754e-05,4.131405148655176e-05
2.309829869773239e-05,4.1236893594032153e-05
2.290345582878217e-05,4.068059934070334e-05
2.2688525859848596e-05,4.05398168368265e-05
2.254439823445864e-05,4.009191252407618e-05
2.240307367173955e-05,3.963596100220457e-05
2.2246331354836002e-05,4.0003280446399e-05
2.213231891801115e-05,3.930513412342407e-05
2.2041542251827195e-05,3.9051079511409625e-05
2.1937052224529907e-05,3.899235525750555e-05
2.1811367332702503e-05,3.839200871880166e-05
2.1751646272605285e-05,3.90193126804661e-05
2.1635471057379618e-05,3.822188591584563e-05
2.1575247956207022e-05,3.778256359510124e-05
2.15212185139535e-05,3.7789559428347275e-05
2.1437013856484555e-05,3.760814433917403e-05
2.1355936041800305e-05,3.751657277462073e-05
2.1290779841365293e-05,3.726888098753989e-05
2.1204892618698068e-05,3.721171378856525e-05
2.110440436808858e-05,3.669173747766763e-05
2.099671655741986e-05,3.677136555779725e-05
2.0920992028550245e-05,3.658044806797989e-05
2.0878731447737664e-05,3.6453595384955406e-05
2.0784176740562543e-05,3.6104509490542114e-05
2.0729185052914545e-05,3.623086740844883e-05
2.0667799617513083e-05,3.58755532943178e-05
2.061583290924318e-05,3.583494253689423e-05
2.0559366021188907e-05,3.557603122317232e-05
2.0532626876956783e-05,3.5531018511392176e-05
2.045760993496515e-05,3.5329325328348204e-05
2.0400215362315066e-05,3.510816895868629e-05
2.0367126126075163e-05,3.521845064824447e-05
2.032114025496412e-05,3.5295914130983874e-05
2.0280036551412195e-05,3.5134820791427046e-05
2.0255181880202144e-05,3.4844899346353486e-05
2.0200512153678574e-05,3.490233575575985e-05
2.0143979782005772e-05,3.491562165436335e-05
2.0116352970944718e-05,3.468752765911631e-05
2.0073701307410374e-05,3.4567914553917944e-05
2.007029252126813e-05,3.455815021879971e-05
2.0039024093421176e-05,3.4452517866156995e-05
1.9953318769694306e-05,3.505586209939793e-05
1.9933553630835377e-05,3.438645580899902e-05
1.9903942302335054e-05,3.414283492020331e-05
1.986821553146001e-05,3.445679976721294e-05
1.982909452635795e-05,3.4017117286566645e-05
1.9797747881966643e-05,3.396160536794923e-05
1.976680869120173e-05,3.379305053385906e-05
1.9702431018231437e-05,3.4020788007183e-05
1.969929326151032e-05,3.3779997465899214e-05
1.966650779650081e-05,3.36166558554396e-05
1.959491055458784e-05,3.334411667310633e-05
1.9566514311009087e-05,3.344163269503042e-05
1.9540606444934383e-05,3.3971286029554904e-05
1.9539837012416683e-05,3.342193303979002e-05
1.9475666704238392e-05,3.3062940929085016e-05
1.9444776626187377e-05,3.402498987270519e-05
1.9441082258708775e-05,3.298587034805678e-05
1.9404438717174344e-05,3.291597022325732e-05
1.9344353859196417e-05,3.321597250760533e-05
1.928582241816912e-05,3.297215516795404e-05
1.9267736206529662e-05,3.283115802332759e-05
1.9204464479116723e-05,3.270222441642545e-05
1.9172639440512285e-05,3.272049798397347e-05
1.9150676962453872e-05,3.247898712288588e-05
1.9097142285318114e-05,3.250340887461789e-05
1.9043785869143903e-05,3.2426760299131274e-05
1.9010216419701464e-05,3.233262395951897e-05
